State,State Abbreviation,2010_AllSites,2010_AllSites_perCapita,2010_LungBronchus,2010_LungBronchus_perCapita,2010_Population,2011_AllSites,2011_AllSites_perCapita,2011_LungBronchus,2011_LungBronchus_perCapita,2011_Population,2012_AllSites,2012_AllSites_perCapita,2012_LungBronchus,2012_LungBronchus_perCapita,2012_Population,2013_AllSites,2013_AllSites_perCapita,2013_LungBronchus,2013_LungBronchus_perCapita,2013_Population,2014_AllSites,2014_AllSites_perCapita,2014_LungBronchus,2014_LungBronchus_perCapita,2014_Population,2015_AllSites,2015_AllSites_perCapita,2015_LungBronchus,2015_LungBronchus_perCapita,2015_Population,2016_AllSites,2016_AllSites_perCapita,2016_LungBronchus,2016_LungBronchus_perCapita,2016_Population,2017_AllSites,2017_AllSites_perCapita,2017_LungBronchus,2017_LungBronchus_perCapita,2017_Population,2018_AllSites,2018_AllSites_perCapita,2018_LungBronchus,2018_LungBronchus_perCapita,2018_Population,2019_AllSites,2019_AllSites_perCapita,2019_LungBronchus,2019_LungBronchus_perCapita,2019_Population,2020_AllSites,2020_AllSites_perCapita,2020_LungBronchus,2020_LungBronchus_perCapita,2020_Population
Georgia,GA,40480,0.004179,6280,0.000648,9687653,44580,0.004548,6410,0.000654,9802431,48130,0.004861,6570,0.000664,9901430,49280,0.004942,6690,0.000671,9972479,47390,0.004707,6540,0.00065,10067278,48070,0.004723,6460,0.000635,10178447,48670,0.004724,6670,0.000647,10301890,48850,0.004692,6610,0.000635,10410330,56920,0.005415,7160,0.000681,10511131,50450,0.004752,7070,0.000666,10617423,55190,0.005142,7240,0.000675,10732390
Hawaii,HI,6670,0.004903,770,0.000566,1360301,6710,0.004865,780,0.000565,1379329,6610,0.004739,860,0.000617,1394804,6650,0.004722,900,0.000639,1408243,6640,0.004694,890,0.000629,1414538,6730,0.004733,890,0.000626,1422052,6850,0.004798,740,0.000518,1427559,6540,0.004591,700,0.000491,1424393,6280,0.004421,830,0.000584,1420593,7120,0.005029,860,0.000607,1415872,6800,0.004686,870,0.0006,1451181
Idaho,ID,7220,0.004606,860,0.000549,1567582,7520,0.004748,870,0.000549,1583910,7720,0.004839,920,0.000577,1595324,7670,0.00476,930,0.000577,1611206,7990,0.004898,960,0.000589,1631112,8080,0.004894,910,0.000551,1651059,8120,0.004826,990,0.000588,1682380,7310,0.004256,980,0.000571,1717715,8450,0.004827,1060,0.000606,1750536,8390,0.004695,1030,0.000576,1787065,8540,0.004618,990,0.000535,1849339
Illinois,IL,63890,0.004979,9190,0.000716,12830632,65610,0.005099,9210,0.000716,12867454,65750,0.005104,9190,0.000713,12882510,66090,0.005125,9270,0.000719,12895129,66840,0.005188,9100,0.000706,12884493,65460,0.005091,8920,0.000694,12858913,65090,0.005077,8820,0.000688,12820527,64720,0.005065,8600,0.000673,12778828,66330,0.005213,9220,0.000725,12723071,68560,0.00541,9130,0.00072,12671821,71990,0.005628,9210,0.00072,12790357
Indiana,IN,33020,0.005093,5430,0.000837,6483802,34050,0.005225,5520,0.000847,6516528,35060,0.005363,5460,0.000835,6537703,35550,0.005412,5500,0.000837,6568713,35560,0.005393,5540,0.00084,6593644,35620,0.00539,5510,0.000834,6608422,35180,0.005303,5520,0.000832,6634304,36440,0.005473,5540,0.000832,6658078,37250,0.005563,5840,0.000872,6695497,35280,0.00524,5500,0.000817,6732219,37940,0.005588,5700,0.00084,6789098
Iowa,IA,17260,0.005666,2450,0.000804,3046355,17500,0.005707,2480,0.000809,3066336,17010,0.00553,2330,0.000757,3076190,17480,0.005651,2350,0.00076,3092997,17630,0.00567,2330,0.000749,3109350,17140,0.005492,2440,0.000782,3120960,17100,0.005461,2420,0.000773,3131371,17230,0.005485,2410,0.000767,3141550,17630,0.005599,2480,0.000788,3148618,17810,0.005645,2410,0.000764,3155070,18460,0.005785,2440,0.000765,3190904
Kansas,KS,13550,0.004749,1990,0.000697,2853118,14070,0.004904,1990,0.000694,2869225,14090,0.004883,1910,0.000662,2885257,14370,0.004967,1930,0.000667,2893212,14630,0.005044,1900,0.000655,2900475,14440,0.004964,1930,0.000663,2909011,14530,0.004992,1970,0.000677,2910844,14400,0.004951,1880,0.000646,2908718,15400,0.00529,2050,0.000704,2911359,15340,0.005265,2000,0.000687,2913314,16170,0.005504,2020,0.000688,2938124
Kentucky,KY,24240,0.005586,4780,0.001102,4339367,25010,0.005723,4860,0.001112,4369821,25160,0.005736,4430,0.00101,4386346,25100,0.005699,4560,0.001035,4404659,25770,0.005838,4690,0.001062,4414349,26490,0.005985,4680,0.001057,4425976,25720,0.005795,4960,0.001118,4438182,26220,0.005889,4830,0.001085,4452268,25990,0.005826,5150,0.001154,4461153,26400,0.005909,4960,0.00111,4467673,26500,0.005878,4890,0.001085,4508155
Louisiana,LA,20950,0.004621,3320,0.000732,4533372,22780,0.004979,3630,0.000793,4575625,23480,0.005103,3660,0.000795,4600972,24930,0.005391,3740,0.000809,4624527,24300,0.005233,3470,0.000747,4644013,24100,0.005167,3380,0.000725,4664628,25070,0.005359,3730,0.000797,4678135,24220,0.005186,3510,0.000752,4670560,25080,0.005382,3660,0.000785,4659690,26800,0.005765,3810,0.00082,4648794,26480,0.005692,3700,0.000795,4652022
Maine,ME,8650,0.006512,1370,0.001031,1328361,8820,0.00664,1400,0.001054,1328284,8990,0.006771,1340,0.001009,1327729,9190,0.00692,1380,0.001039,1328009,9270,0.006967,1400,0.001052,1330513,8810,0.006633,1360,0.001024,1328262,9270,0.006963,1410,0.001059,1331317,8750,0.006556,1380,0.001034,1334612,8600,0.006422,1450,0.001083,1339057,8920,0.006636,1400,0.001042,1344212,8180,0.005995,1430,0.001048,1364517
Maryland,MD,27700,0.004798,4170,0.000722,5773552,28890,0.004947,3960,0.000678,5839419,31000,0.005266,4250,0.000722,5886992,30680,0.00518,4040,0.000682,5923188,30680,0.00515,3990,0.00067,5957283,30050,0.00502,3980,0.000665,5985562,30990,0.005162,4100,0.000683,6003323,31820,0.005282,4020,0.000667,6023868,33810,0.005602,4270,0.000707,6035802,33140,0.005482,4040,0.000668,6045680,34710,0.005622,3930,0.000637,6173689
Massachusetts,MA,36040,0.005504,5020,0.000767,6547629,37470,0.005666,4970,0.000751,6613583,38470,0.005774,4920,0.000738,6663005,38250,0.005698,4880,0.000727,6713315,37940,0.00561,4930,0.000729,6762596,37790,0.005562,5150,0.000758,6794228,37620,0.005513,4910,0.00072,6823608,37130,0.005413,4890,0.000713,6859789,37130,0.005395,5140,0.000747,6882635,40020,0.005806,5150,0.000747,6892503,36990,0.005286,5150,0.000736,6997713
Michigan,MI,55660,0.005632,8150,0.000825,9883640,57010,0.005769,8140,0.000824,9882412,57790,0.005839,8210,0.00083,9897145,57560,0.005806,8250,0.000832,9913065,58610,0.005902,8090,0.000815,9929848,57420,0.005781,8350,0.000841,9931715,56530,0.005681,8440,0.000848,9950571,57600,0.005776,8190,0.000821,9973114,56590,0.005668,8780,0.000879,9984072,58360,0.005844,8070,0.000808,9986857,61770,0.006134,8140,0.000808,10070627
Minnesota,MN,25080,0.004729,3150,0.000594,5303925,27600,0.005163,3340,0.000625,5346143,28060,0.005219,3750,0.000697,5376643,28410,0.005248,3860,0.000713,5413479,29340,0.005382,3070,0.000563,5451079,29730,0.005423,3250,0.000593,5482032,29130,0.005275,3660,0.000663,5522744,30000,0.00539,3620,0.00065,5566230,31270,0.005578,3980,0.00071,5606249,30560,0.005419,3600,0.000638,5639632,33210,0.005816,3580,0.000627,5710578
Mississippi,MS,14330,0.004829,2360,0.000795,2967297,14990,0.005032,2430,0.000816,2978731,15190,0.005091,2550,0.000855,2983816,15830,0.005297,2630,0.00088,2988711,15740,0.005263,2420,0.000809,2990468,16260,0.005441,2340,0.000783,2988471,16680,0.005582,2550,0.000853,2987938,17290,0.005785,2570,0.00086,2988510,18130,0.006082,2690,0.000902,2981020,17050,0.005729,2520,0.000847,2976149,17190,0.005811,2510,0.000848,2958409
Missouri,MO,31160,0.005203,5360,0.000895,5988927,32740,0.005447,5470,0.00091,6010275,33440,0.005551,5370,0.000891,6024367,33950,0.00562,5410,0.000896,6040715,33890,0.005596,5370,0.000887,6056202,34680,0.005712,5380,0.000886,6071732,34270,0.00563,5450,0.000895,6087135,34400,0.005633,5620,0.00092,6106670,35520,0.005802,5750,0.000939,6121623,35480,0.005781,5490,0.000895,6137428,37540,0.0061,5540,0.0009,6154426
Montana,MT,5570,0.00563,740,0.000748,989415,5690,0.005705,750,0.000752,997316,5550,0.005529,700,0.000697,1003783,5450,0.005377,700,0.000691,1013569,5850,0.005725,760,0.000744,1021869,5950,0.005774,760,0.000738,1030475,6070,0.005832,750,0.000721,1040859,6140,0.005834,750,0.000713,1052482,6080,0.005732,830,0.000783,1060665,5920,0.005539,820,0.000767,1068778,5850,0.005381,770,0.000708,1087211
Nebraska,NE,9230,0.005054,1200,0.000657,1826341,9430,0.005123,1270,0.00069,1840672,9030,0.004872,1230,0.000664,1853303,9060,0.004857,1220,0.000654,1865279,9550,0.005082,1220,0.000649,1879321,9540,0.005044,1200,0.000634,1891277,9740,0.005111,1220,0.00064,1905616,9520,0.004969,1220,0.000637,1915947,10320,0.005359,1310,0.00068,1925614,9780,0.005056,1290,0.000667,1934408,10560,0.005379,1270,0.000647,1963273
