State Abbreviation,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR),2011(BM),2012(BM),2013(BM),2014(BM),2015(BM),2016(BM),2017(BM),2018(BM),2019(BM),2020(BM),2011(GT),2012(GT),2013(GT),2014(GT),2015(GT),2016(GT),2017(GT),2018(GT),2019(GT),2020(GT),2011(HP),2012(HP),2013(HP),2014(HP),2015(HP),2016(HP),2017(HP),2018(HP),2019(HP),2020(HP),2011(S),2012(S),2013(S),2014(S),2015(S),2016(S),2017(S),2018(S),2019(S),2020(S),2011(W),2012(W),2013(W),2014(W),2015(W),2016(W),2017(W),2018(W),2019(W),2020(W),State,2010_LungBronchus,2010_AllSites,2011_LungBronchus,2011_AllSites,2012_LungBronchus,2012_AllSites,2013_LungBronchus,2013_AllSites,2014_LungBronchus,2014_AllSites,2015_LungBronchus,2015_AllSites,2016_LungBronchus,2016_AllSites,2017_LungBronchus,2017_AllSites,2018_LungBronchus,2018_AllSites,2019_LungBronchus,2019_AllSites,2020_LungBronchus,2020_AllSites
MD,241190,192334,183191,201220,165994,162931,106973,124191,77301,49692,199132,216558,206126,217227,225969,229508,232723,312824,311631,296585,480594,470103,478356,484711,499114,473740,470666,477626,474069,397572,150655,142297,149048,150017,153140,154377,158004,156699,156765,157531,80305,71341,78496,77492,73185,73766,80822,90288,79877,66952,51871,50600,56132,55035,49076,48654,47643,47328,42100,33265,532,570,570,570,570,570,570,570,570,570,24748,15764,16477,15362,15118,12847,18098,25755,19471,14876,524,1346,2249,3448,4373,6831,9343,11449,13106,13457,2630,3061,3069,3077,4048,4864,5169,5186,4630,4784,Maryland,4170,27700,3960,28890,4250,31000,4040,30680,3990,30680,3980,30050,4100,30990,4020,331820,4270,33810,4040,33140,3930,34710
ME,1542,1299,1657,2142,2588,2194,2168,2113,2160,1657,75061,70451,65886,62423,54203,54509,45125,48370,46301,47028,188435,170117,182365,185791,194972,186072,181420,171062,166761,157444,0,0,0,0,0,0,0,0,0,0,166773,162608,168347,164138,168574,150107,155506,155760,154606,138648,121039,118384,124043,118906,124811,106551,102172,103562,100304,88715,68,72,72,72,72,72,72,72,72,72,38660,35519,33970,34453,31300,27681,31204,29669,31141,27688,141,192,265,271,323,418,577,765,896,1175,6866,8440,9996,10435,12068,15384,21481,21692,22194,20998,Maine,1370,8650,1400,8820,1340,8990,1380,9190,1400,9270,1360,8810,2410,9270,1380,8750,1450,8600,1400,8920,1430,8180
MI,691150,621633,658172,618479,617280,471236,499439,506105,447823,334428,787337,804084,831741,878128,871834,926828,908197,1010919,1054986,1003430,796407,778608,831484,847600,864500,880277,869880,896217,882063,756310,344155,293619,302194,326800,306773,329999,338675,318655,343639,316854,176632,179593,208916,221483,239503,234596,238177,247124,244587,235184,153361,151415,162703,163477,174814,170546,168031,175701,170114,152696,5088,5193,5193,5193,5193,5193,5193,5193,5193,5193,13188,11484,13539,15215,13964,14436,15460,14277,14681,15021,560,732,769,816,853,1088,1691,2303,2755,3227,4435,10769,26711,36782,44678,43333,47801,49650,51843,59047,Michigan,8150,55660,8140,57010,8210,57790,8250,57560,8090,58610,8350,57420,8440,56530,8190,57600,8780,56590,8070,58360,8140,61770
MN,315604,257875,267695,313073,271570,261250,257594,261530,205139,162702,424958,430277,478611,490111,448557,466365,466884,514172,549487,496026,580208,585141,600937,602446,595108,617809,611526,624491,640082,545473,125134,125159,111885,132904,125900,144970,145426,152657,147280,153319,241621,246583,245622,273992,278624,282936,293528,296986,298551,286430,167781,162070,160530,175139,178087,178398,172076,178423,178245,157085,1003,1075,1075,1075,1075,1075,1075,1075,1075,1075,7250,5339,4877,5216,7908,11152,11581,9585,9398,8783,240,294,344,411,473,645,6244,10430,12257,15763,65347,77805,78797,92152,91080,91666,102552,97473,97576,103724,Minnesota,3150,25080,3340,27600,3750,28060,3860,28410,3070,29340,3250,29730,3660,29130,3620,30000,3980,31270,3600,30560,3580,33210
MO,825650,768297,806549,780707,696401,639860,709796,668188,584662,551341,275308,258945,281399,301368,270885,273583,264614,330552,327798,303949,623832,599722,601720,614721,622945,619747,611040,619352,622101,576090,98062,112317,87428,97021,109182,98630,86853,111401,95961,80874,96371,84689,97726,98934,95606,94312,102440,110649,121475,117585,73032,65479,74874,80006,69235,70026,70062,73992,72438,67355,329,352,352,352,352,352,352,352,352,352,11515,6797,10843,6631,14856,11705,10880,7537,19720,16477,47,216,523,1189,1541,1876,2432,2978,3531,4074,11448,11845,11133,10756,9622,10353,18714,25790,25432,29327,Missouri,5360,31160,5470,32740,5370,33440,5410,33950,5370,33890,5380,34680,5450,34270,5620,34400,5750,35520,5490,35480,5540,37540
MS,107546,82456,97767,116537,71626,61219,53779,60015,51028,54188,437873,499946,426902,439557,536996,561342,543721,591886,583800,610312,369063,373429,364610,367502,377952,386987,384318,380952,383081,369614,108164,76456,113523,107228,122511,61680,77027,72343,115202,67595,75576,88539,76908,78055,74223,76967,71848,74057,70136,68741,74485,87564,75915,77061,73235,75936,69987,70020,66173,63866,1074,958,958,958,958,958,958,958,958,958,0,0,0,0,0,0,0,0,0,0,17,17,34,35,29,73,902,3078,3005,3916,0,0,0,0,0,0,0,0,0,0,Mississippi,2360,14330,2430,14990,2550,15190,2630,15830,2420,15740,2340,16260,2550,16680,2570,17290,2690,18130,2520,17050,2510,17190
MT,165687,157308,166104,175357,178421,161938,156073,152295,159165,98886,79470,75234,82298,80063,77443,77589,83319,90778,92649,87478,177760,173248,172419,168456,165080,166880,172427,171531,175168,174592,0,0,0,0,0,0,0,0,0,0,143494,127819,118144,137730,129412,132767,140885,147563,133863,142312,8386,8017,8992,9317,18596,19528,19636,23379,22887,20344,403,337,337,337,337,337,337,337,337,337,122382,107373,91959,109189,92094,93042,100795,103759,89030,94224,32,84,115,117,85,110,275,497,488,592,12292,12007,16741,18769,18299,19750,19842,19592,21120,26815,Montana,740,5570,750,5690,700,5550,700,5450,760,5850,760,5950,750,6070,750,6140,830,6080,820,5920,770,5850
NC,624783,534713,493771,501592,405525,381761,350286,325121,318154,223906,311189,367948,445018,462289,516026,540271,520659,599308,569405,557570,830733,802771,812705,834289,857023,878993,885764,906189,905845,807695,424073,412722,420486,428474,440248,447500,443192,439915,437683,442166,188541,186574,228352,209090,206845,222384,240022,270114,275441,293174,149240,148190,157380,155000,147848,147215,150492,146317,145756,141691,903,967,967,967,967,967,967,967,967,967,37828,35475,65838,45226,44167,40762,35156,60096,55047,69763,570,1941,4167,7897,13863,33383,49072,57796,69015,75963,0,0,0,0,0,58,4335,4938,4655,4789,North Carolina,7520,45120,7300,48870,7950,51860,8040,53200,7850,52550,7750,50420,7870,54450,7940,56900,8490,55130,8010,58690,8470,59620
ND,394771,406344,393193,399195,408091,394579,397875,407262,372018,363255,72247,71873,82334,89095,100852,105625,112146,130084,157419,150166,184822,199212,222215,236320,193722,164552,184122,190027,188349,163767,0,0,0,0,0,0,0,0,0,0,102733,99508,98237,111219,109747,125731,165938,163255,164419,176757,25792,24760,26922,27184,28664,31692,36582,35689,35354,34757,1001,978,978,978,978,978,978,978,978,978,25068,23573,17674,24071,19505,17644,23776,28933,28293,21483,4,6,7,7,7,7,7,8,11,11,50869,50192,52656,58979,60594,75410,104596,97648,99785,119528,North Dakota,410,3300,420,3560,460,3510,460,3510,400,3730,440,3840,480,3930,480,4180,500,4110,430,3940,460,4060
NE,285384,272587,292956,276544,266319,240465,233809,264072,240414,213747,173657,161770,179617,179705,170346,172929,175613,196445,198771,192725,231425,233031,231611,234466,234270,232829,233348,239157,242788,228175,72549,60795,71736,105655,107976,97798,72300,58884,72589,64646,144549,132976,138417,155904,164543,168536,186969,190495,203880,202857,117400,107554,109254,117619,117974,124279,125012,125851,126124,108866,1195,1212,1212,1212,1212,1212,1212,1212,1212,1212,15713,11962,10723,11009,15694,7903,13711,12574,11927,12187,30,33,37,38,41,90,219,373,445,678,10210,12215,17191,26026,29623,35052,46814,50486,64172,79914,Nebraska,1200,9230,1270,9430,1230,9030,1220,9060,1220,9550,1200,9540,1220,9740,1220,9520,1310,10320,1290,9780,1270,10560
