,State Abbreviation,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR),2011(BM),2012(BM),2013(BM),2014(BM),2015(BM),2016(BM),2017(BM),2018(BM),2019(BM),2020(BM),2011(GT),2012(GT),2013(GT),2014(GT),2015(GT),2016(GT),2017(GT),2018(GT),2019(GT),2020(GT),2011(HP),2012(HP),2013(HP),2014(HP),2015(HP),2016(HP),2017(HP),2018(HP),2019(HP),2020(HP),2011(S),2012(S),2013(S),2014(S),2015(S),2016(S),2017(S),2018(S),2019(S),2020(S),2011(W),2012(W),2013(W),2014(W),2015(W),2016(W),2017(W),2018(W),2019(W),2020(W),State,2011_LungBronchus,2011_LungBronchus_perCapita,2011_Population,2012_LungBronchus,2012_LungBronchus_perCapita,2012_Population,2013_LungBronchus,2013_LungBronchus_perCapita,2013_Population,2014_LungBronchus,2014_LungBronchus_perCapita,2014_Population,2015_LungBronchus,2015_LungBronchus_perCapita,2015_Population,2016_LungBronchus,2016_LungBronchus_perCapita,2016_Population,2017_LungBronchus,2017_LungBronchus_perCapita,2017_Population,2018_LungBronchus,2018_LungBronchus_perCapita,2018_Population,2019_LungBronchus,2019_LungBronchus_perCapita,2019_Population,2020_LungBronchus,2020_LungBronchus_perCapita,2020_Population,2021 Lung & Bronchus,2021_Population,2021_LungBronchus_perCapita,2011-2020 allsites/capita AVG,2011-2020 lungBronchus/capita AVG,Lung/Bronchus_Classifer,Change from 2011 to 2020 (percapita)
19,MA,42963,24036,42208,29871,24177,20115,12407,101,71,0,464018,430920,435312,432523,457124,440725,462406,452093,442794,400675,574191,536809,564699,563978,577821,558903,561908,576328,572180,449040,53212,61402,45251,60340,52236,56628,52788,46437,22734,0,77232,73171,82560,87252,88979,93041,95856,101071,99536,94678,63502,60395,65534,66527,65888,66126,61781,59729,58629,51362,962,859,859,859,859,859,859,859,859,859,11161,8683,9460,8578,7704,6575,9553,10314,8682,7397,1010,2381,4752,9149,12529,17487,21521,28159,29491,32972,596,853,1955,2139,1999,1994,2142,2010,1876,2089,Massachusetts,4970,0.000751,6613583,4920,0.000738,6663005,4880,0.000727,6713315,4930,0.000729,6762596,5150,0.000758,6794228,4910,0.00072,6823608,4890,0.000713,6859789,5140,0.000747,6882635,5150,0.000747,6892503,5150,0.000736,6997713.0,5550,6991951,0.0007937698648059747,0.005572,0.000737,1,1.500000000000004e-05
20,MD,241190,192334,183191,201220,165994,162931,106973,124191,77301,49692,199132,216558,206126,217227,225969,229508,232723,312824,311631,296585,480594,470103,478356,484711,499114,473740,470666,477626,474069,397572,150655,142297,149048,150017,153140,154377,158004,156699,156765,157531,80305,71341,78496,77492,73185,73766,80822,90288,79877,66952,51871,50600,56132,55035,49076,48654,47643,47328,42100,33265,532,570,570,570,570,570,570,570,570,570,24748,15764,16477,15362,15118,12847,18098,25755,19471,14876,524,1346,2249,3448,4373,6831,9343,11449,13106,13457,2630,3061,3069,3077,4048,4864,5169,5186,4630,4784,Maryland,3960,0.000678,5839419,4250,0.000722,5886992,4040,0.000682,5923188,3990,0.00067,5957283,3980,0.000665,5985562,4100,0.000683,6003323,4020,0.000667,6023868,4270,0.000707,6035802,4040,0.000668,6045680,3930,0.000637,6173689.0,4230,6175045,0.0006850152509010056,0.005271,0.000678,1,4.100000000000002e-05
21,ME,1542,1299,1657,2142,2588,2194,2168,2113,2160,1657,75061,70451,65886,62423,54203,54509,45125,48370,46301,47028,188435,170117,182365,185791,194972,186072,181420,171062,166761,157444,0,0,0,0,0,0,0,0,0,0,166773,162608,168347,164138,168574,150107,155506,155760,154606,138648,121039,118384,124043,118906,124811,106551,102172,103562,100304,88715,68,72,72,72,72,72,72,72,72,72,38660,35519,33970,34453,31300,27681,31204,29669,31141,27688,141,192,265,271,323,418,577,765,896,1175,6866,8440,9996,10435,12068,15384,21481,21692,22194,20998,Maine,1400,0.001054,1328284,1340,0.001009,1327729,1380,0.001039,1328009,1400,0.001052,1330513,1360,0.001024,1328262,1410,0.001059,1331317,1380,0.001034,1334612,1450,0.001083,1339057,1400,0.001042,1344212,1430,0.001048,1364517.0,1530,1378787,0.0011096710369331883,0.00665,0.001044,1,5.999999999999929e-06
22,MI,691150,621633,658172,618479,617280,471236,499439,506105,447823,334428,787337,804084,831741,878128,871834,926828,908197,1010919,1054986,1003430,796407,778608,831484,847600,864500,880277,869880,896217,882063,756310,344155,293619,302194,326800,306773,329999,338675,318655,343639,316854,176632,179593,208916,221483,239503,234596,238177,247124,244587,235184,153361,151415,162703,163477,174814,170546,168031,175701,170114,152696,5088,5193,5193,5193,5193,5193,5193,5193,5193,5193,13188,11484,13539,15215,13964,14436,15460,14277,14681,15021,560,732,769,816,853,1088,1691,2303,2755,3227,4435,10769,26711,36782,44678,43333,47801,49650,51843,59047,Michigan,8140,0.000824,9882412,8210,0.00083,9897145,8250,0.000832,9913065,8090,0.000815,9929848,8350,0.000841,9931715,8440,0.000848,9950571,8190,0.000821,9973114,8780,0.000879,9984072,8070,0.000808,9986857,8140,0.000808,10070627.0,8590,10038117,0.0008557381827687403,0.00582,0.000831,1,1.5999999999999955e-05
23,MN,315604,257875,267695,313073,271570,261250,257594,261530,205139,162702,424958,430277,478611,490111,448557,466365,466884,514172,549487,496026,580208,585141,600937,602446,595108,617809,611526,624491,640082,545473,125134,125159,111885,132904,125900,144970,145426,152657,147280,153319,241621,246583,245622,273992,278624,282936,293528,296986,298551,286430,167781,162070,160530,175139,178087,178398,172076,178423,178245,157085,1003,1075,1075,1075,1075,1075,1075,1075,1075,1075,7250,5339,4877,5216,7908,11152,11581,9585,9398,8783,240,294,344,411,473,645,6244,10430,12257,15763,65347,77805,78797,92152,91080,91666,102552,97473,97576,103724,Minnesota,3340,0.000625,5346143,3750,0.000697,5376643,3860,0.000713,5413479,3070,0.000563,5451079,3250,0.000593,5482032,3660,0.000663,5522744,3620,0.00065,5566230,3980,0.00071,5606249,3600,0.000638,5639632,3580,0.000627,5710578.0,3970,5717968,0.0006943025914100953,0.005391,0.000648,1,-1.99999999999994e-06
24,MO,825650,768297,806549,780707,696401,639860,709796,668188,584662,551341,275308,258945,281399,301368,270885,273583,264614,330552,327798,303949,623832,599722,601720,614721,622945,619747,611040,619352,622101,576090,98062,112317,87428,97021,109182,98630,86853,111401,95961,80874,96371,84689,97726,98934,95606,94312,102440,110649,121475,117585,73032,65479,74874,80006,69235,70026,70062,73992,72438,67355,329,352,352,352,352,352,352,352,352,352,11515,6797,10843,6631,14856,11705,10880,7537,19720,16477,47,216,523,1189,1541,1876,2432,2978,3531,4074,11448,11845,11133,10756,9622,10353,18714,25790,25432,29327,Missouri,5470,0.00091,6010275,5370,0.000891,6024367,5410,0.000896,6040715,5370,0.000887,6056202,5380,0.000886,6071732,5450,0.000895,6087135,5620,0.00092,6106670,5750,0.000939,6121623,5490,0.000895,6137428,5540,0.0009,6154426.0,5570,6170393,0.000902697769817903,0.005687,0.000902,1,1.0000000000000026e-05
25,MS,107546,82456,97767,116537,71626,61219,53779,60015,51028,54188,437873,499946,426902,439557,536996,561342,543721,591886,583800,610312,369063,373429,364610,367502,377952,386987,384318,380952,383081,369614,108164,76456,113523,107228,122511,61680,77027,72343,115202,67595,75576,88539,76908,78055,74223,76967,71848,74057,70136,68741,74485,87564,75915,77061,73235,75936,69987,70020,66173,63866,1074,958,958,958,958,958,958,958,958,958,0,0,0,0,0,0,0,0,0,0,17,17,34,35,29,73,902,3078,3005,3916,0,0,0,0,0,0,0,0,0,0,Mississippi,2430,0.000816,2978731,2550,0.000855,2983816,2630,0.00088,2988711,2420,0.000809,2990468,2340,0.000783,2988471,2550,0.000853,2987938,2570,0.00086,2988510,2690,0.000902,2981020,2520,0.000847,2976149,2510,0.000848,2958409.0,2870,2949582,0.0009730192278092286,0.005511,0.000845,1,-3.200000000000002e-05
26,MT,165687,157308,166104,175357,178421,161938,156073,152295,159165,98886,79470,75234,82298,80063,77443,77589,83319,90778,92649,87478,177760,173248,172419,168456,165080,166880,172427,171531,175168,174592,0,0,0,0,0,0,0,0,0,0,143494,127819,118144,137730,129412,132767,140885,147563,133863,142312,8386,8017,8992,9317,18596,19528,19636,23379,22887,20344,403,337,337,337,337,337,337,337,337,337,122382,107373,91959,109189,92094,93042,100795,103759,89030,94224,32,84,115,117,85,110,275,497,488,592,12292,12007,16741,18769,18299,19750,19842,19592,21120,26815,Montana,750,0.000752,997316,700,0.000697,1003783,700,0.000691,1013569,760,0.000744,1021869,760,0.000738,1030475,750,0.000721,1040859,750,0.000713,1052482,830,0.000783,1060665,820,0.000767,1068778,770,0.000708,1087211.0,810,1106366,0.0007321266199431291,0.005643,0.000731,1,4.3999999999999985e-05
27,NC,624783,534713,493771,501592,405525,381761,350286,325121,318154,223906,311189,367948,445018,462289,516026,540271,520659,599308,569405,557570,830733,802771,812705,834289,857023,878993,885764,906189,905845,807695,424073,412722,420486,428474,440248,447500,443192,439915,437683,442166,188541,186574,228352,209090,206845,222384,240022,270114,275441,293174,149240,148190,157380,155000,147848,147215,150492,146317,145756,141691,903,967,967,967,967,967,967,967,967,967,37828,35475,65838,45226,44167,40762,35156,60096,55047,69763,570,1941,4167,7897,13863,33383,49072,57796,69015,75963,0,0,0,0,0,58,4335,4938,4655,4789,North Carolina,7300,0.000756,9657592,7950,0.000815,9749476,8040,0.000817,9843336,7850,0.00079,9932887,7750,0.000773,10031646,7870,0.000775,10154788,7940,0.000773,10268233,8490,0.000818,10381615,8010,0.000764,10488084,8470,0.00081,10453812.0,8830,10567100,0.00083561241967995,0.005361,0.000789,1,-5.39999999999999e-05
28,ND,394771,406344,393193,399195,408091,394579,397875,407262,372018,363255,72247,71873,82334,89095,100852,105625,112146,130084,157419,150166,184822,199212,222215,236320,193722,164552,184122,190027,188349,163767,0,0,0,0,0,0,0,0,0,0,102733,99508,98237,111219,109747,125731,165938,163255,164419,176757,25792,24760,26922,27184,28664,31692,36582,35689,35354,34757,1001,978,978,978,978,978,978,978,978,978,25068,23573,17674,24071,19505,17644,23776,28933,28293,21483,4,6,7,7,7,7,7,8,11,11,50869,50192,52656,58979,60594,75410,104596,97648,99785,119528,North Dakota,420,0.000613,685225,460,0.000656,701176,460,0.000637,722036,400,0.000542,737401,440,0.000584,754066,480,0.000636,754434,480,0.000636,754942,500,0.00066,758080,430,0.000564,762062,460,0.00059,779563.0,490,777982,0.000629834623423164,0.005176,0.000612,1,2.3000000000000017e-05
29,NE,285384,272587,292956,276544,266319,240465,233809,264072,240414,213747,173657,161770,179617,179705,170346,172929,175613,196445,198771,192725,231425,233031,231611,234466,234270,232829,233348,239157,242788,228175,72549,60795,71736,105655,107976,97798,72300,58884,72589,64646,144549,132976,138417,155904,164543,168536,186969,190495,203880,202857,117400,107554,109254,117619,117974,124279,125012,125851,126124,108866,1195,1212,1212,1212,1212,1212,1212,1212,1212,1212,15713,11962,10723,11009,15694,7903,13711,12574,11927,12187,30,33,37,38,41,90,219,373,445,678,10210,12215,17191,26026,29623,35052,46814,50486,64172,79914,Nebraska,1270,0.00069,1840672,1230,0.000664,1853303,1220,0.000654,1865279,1220,0.000649,1879321,1200,0.000634,1891277,1220,0.00064,1905616,1220,0.000637,1915947,1310,0.00068,1925614,1290,0.000667,1934408,1270,0.000647,1963273.0,1350,1964253,0.0006872841736782379,0.005085,0.000656,1,4.299999999999996e-05
30,NH,24489,14191,16778,14867,10989,5277,3617,7798,4182,1518,72778,74336,55649,58785,70742,59638,53633,51471,55366,53630,147637,138269,144512,155001,152764,146737,152656,155704,152435,136963,87508,85814,114173,106350,99186,112551,104493,105195,113890,103052,52027,50256,59059,61731,67603,62838,66803,62624,62394,51219,35670,36249,41530,44447,51507,47703,49094,45512,44270,34337,27,29,29,29,29,29,29,29,29,29,15592,11869,13617,13135,11831,10570,13015,12328,13011,10768,96,124,169,206,292,547,875,1055,1228,1483,642,1986,3713,3914,3944,3989,3790,3700,3857,4602,New Hampshire,1110,0.000841,1320202,1130,0.000853,1324232,1150,0.000867,1326622,1110,0.000832,1333341,1140,0.000853,1336350,1140,0.000849,1342307,1150,0.000853,1348787,1230,0.000909,1353465,1140,0.000838,1359711,1220,0.000885,1378702.0,1240,1387494,0.0008936975583317837,0.006234,0.000858,1,-4.4000000000000094e-05
31,NJ,49592,25589,25910,30731,22925,17455,16488,16732,13780,12144,677521,670827,711999,805145,778866,793928,734147,799555,790685,678931,931578,884720,878077,856154,877467,888468,858632,888315,842885,686425,351658,346962,348784,329533,347851,312569,355948,334373,278147,279308,74190,76886,86152,91005,81586,85369,83836,84239,84994,80762,65958,62806,68475,70479,59875,62371,57421,55033,52416,44783,435,466,466,466,466,466,466,466,466,466,237,102,174,164,89,87,126,323,236,135,7458,13401,16933,19678,20956,22252,25617,28212,31680,35203,102,110,104,217,201,192,207,206,196,175,New Jersey,6210,0.000703,8828117,5990,0.000677,8844942,5960,0.000673,8856972,6130,0.000692,8864525,5830,0.000657,8867949,5580,0.000629,8870827,5540,0.000623,8885525,5870,0.000661,8886025,6070,0.000683,8882190,6100,0.000658,9272392.0,5900,9269175,0.0006365183524963117,0.005762,0.000666,0,4.500000000000001e-05
32,NM,284737,263439,256377,215348,215703,197083,199114,136824,151468,138968,251838,249815,252867,256056,260038,259158,249357,281322,305538,292036,232633,233394,232460,240408,237701,235515,249356,257803,262605,237384,0,0,0,0,0,0,0,0,0,0,43298,45164,46411,48148,48909,64769,78080,95244,105040,106513,18818,17651,19515,18898,20804,21047,20438,23221,26378,21828,442,368,368,451,458,499,487,487,885,835,1892,2120,876,936,926,1365,1779,1361,1408,1777,1698,3844,4724,6234,7253,8587,13069,14754,15037,18739,20447,21181,20927,21631,19466,33271,42307,55421,61333,63334,New Mexico,980,0.000471,2080450,1090,0.000522,2087309,1050,0.000502,2092273,1060,0.000507,2089568,990,0.000474,2089291,1020,0.000488,2091630,1010,0.000483,2091784,1090,0.000521,2092741,1070,0.00051,2096829,1040,0.000491,2118488.0,960,2116950,0.0004534826046907107,0.004698,0.000497,0,-1.9999999999999998e-05
33,NV,62701,52850,64838,79230,36635,30765,27297,34996,37177,27778,255970,281432,282245,261902,312602,316653,305309,310875,315564,310715,267077,261495,268244,275622,266639,289383,306479,308260,306466,245204,0,0,0,0,0,0,0,0,0,0,58036,63674,74096,76197,85212,99674,109544,117235,125022,125514,10111,9303,10305,11481,12513,14187,14630,15717,15870,13689,22419,23886,27022,27496,30519,32493,31859,33045,36335,34870,21284,23223,25588,22717,21088,16511,16691,17116,19952,16862,4222,6036,8790,11649,18207,33310,43037,48516,49933,57245,0,1226,2390,2854,2885,3173,3327,2842,2931,2848,Nevada,1510,0.000557,2712730,1930,0.000703,2743996,1970,0.00071,2775970,2040,0.000724,2817628,1770,0.000617,2866939,1700,0.000583,2917563,1680,0.000566,2969905,2090,0.00069,3027341,1880,0.00061,3080156,1850,0.000594,3115840.0,2080,3146632,0.0006610242316228908,0.004896,0.000635,1,-3.700000000000003e-05
34,NY,125181,72914,68707,64655,41241,29679,19553,16710,13648,5681,1247757,1260950,1315282,1392378,1396693,1336455,1276905,1393657,1337750,1305282,1387352,1341448,1330482,1382080,1383266,1382206,1378849,1423244,1386269,1066114,446761,427277,467651,450141,466457,434791,441029,448718,468481,401441,438840,399747,418075,437667,448392,454021,490642,489219,498124,468231,135968,132355,140965,145391,160141,157681,159888,164409,162300,139541,1283,1185,1185,1185,1185,1185,1185,1185,1185,1185,272019,234593,238270,248060,242299,248125,277575,269574,272495,259064,2093,3147,3885,5296,7725,10670,13911,17674,22491,28799,27478,28468,33770,37736,37042,36360,38084,36377,39653,39642,New York,14200,0.000728,19499241,13620,0.000696,19572932,13480,0.000687,19624447,13720,0.000698,19651049,13180,0.000671,19654666,13200,0.000672,19633428,12700,0.000648,19589572,13190,0.000675,19530351,13380,0.000688,19453561,13370,0.000665,20104710.0,13950,19854526,0.0007026105785653105,0.005597,0.000683,1,6.300000000000001e-05
