,State,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR)
32,NM,284737,263439,256377,215348,215703,197083,199114,136824,151468,138968,251838,249815,252867,256056,260038,259158,249357,281322,305538,292036,232633,233394,232460,240408,237701,235515,249356,257803,262605,237384,0,0,0,0,0,0,0,0,0,0,43298,45164,46411,48148,48909,64769,78080,95244,105040,106513
33,NV,62701,52850,64838,79230,36635,30765,27297,34996,37177,27778,255970,281432,282245,261902,312602,316653,305309,310875,315564,310715,267077,261495,268244,275622,266639,289383,306479,308260,306466,245204,0,0,0,0,0,0,0,0,0,0,58036,63674,74096,76197,85212,99674,109544,117235,125022,125514
34,NY,125181,72914,68707,64655,41241,29679,19553,16710,13648,5681,1247757,1260950,1315282,1392378,1396693,1336455,1276905,1393657,1337750,1305282,1387352,1341448,1330482,1382080,1383266,1382206,1378849,1423244,1386269,1066114,446761,427277,467651,450141,466457,434791,441029,448718,468481,401441,438840,399747,418075,437667,448392,454021,490642,489219,498124,468231
35,OH,1222606,1019140,1104486,1057377,865714,825311,810953,717818,594257,556769,848771,869556,945731,1058802,1031716,994162,1014299,1236747,1260474,1233412,1067554,1045080,1053987,1062667,1081188,1082887,1073983,1089761,1070162,982394,155806,179055,168451,170319,181726,175893,184997,191483,177624,190316,138111,143509,160117,163389,157489,159177,156232,158726,160334,151400
36,OK,378320,327089,335925,336080,280748,221842,198309,171280,93953,70714,676910,712411,682277,667360,711393,736164,692145,842224,873688,847555,507576,522769,506028,535307,521667,520186,544537,541278,524240,474552,0,0,0,0,0,0,0,0,0,0,114750,135556,178059,177919,203058,260290,290968,324177,347056,337045
37,OR,35135,28259,38900,34238,26515,19440,18723,16911,27430,17811,203607,220578,244265,226472,245897,249829,262532,271311,302229,282518,331023,323741,322313,325766,323140,327835,335127,339590,334509,300473,0,0,0,0,0,0,0,0,0,0,526732,507768,472016,495029,451541,482943,516930,502494,445620,473155
38,PA,1212984,1093178,1126118,1039161,878829,734838,669540,644056,568781,374254,1000507,1079495,1175535,1304080,1313350,1354340,1404240,1515912,1679486,1783003,1208894,1157559,1181000,1207164,1187148,1138129,1151732,1170049,1134520,949953,796798,787753,822483,823277,842044,867302,870187,872749,869084,799342,215431,203830,235207,232509,235433,230921,240496,251952,234570,217902
39,RI,0,0,0,0,0,0,0,0,0,0,102465,98435,88274,91374,96514,88471,94730,104748,97931,100985,82254,78856,82166,86353,86112,74342,75184,82615,77313,68314,0,0,0,0,0,0,0,0,0,0,6901,6003,6106,7902,8469,8267,9567,10045,11832,13926
40,SC,366160,298572,257319,305656,241217,221865,192751,205204,160703,137280,235465,250481,236942,236040,284013,284225,287408,338951,347904,343349,485250,468285,480197,479576,511425,522302,524166,526034,515839,465872,553573,535952,566879,548246,555909,583883,568390,551151,585828,571930,135879,138964,156589,158548,151230,150318,152847,165199,166366,173989
41,SD,32112,35574,34246,33062,19616,26660,26114,27618,31420,21692,73973,71501,84527,83919,83370,85021,85339,95548,97428,91244,112687,116746,112656,114520,115692,113289,112658,115313,116179,119687,0,0,0,0,0,0,0,0,0,0,154349,140762,128968,140135,138038,149018,148279,158194,169269,171078
42,TN,481127,423086,399768,427509,370650,379775,334567,251835,216876,176104,267929,281007,284750,313887,322468,336341,331613,404318,420285,398610,673366,646741,655891,672629,687482,702677,694516,700650,713625,657467,281682,263045,297732,289401,261037,309357,332779,378224,372992,383245,191304,181037,226381,194804,196878,170822,182761,199132,191569,211994
43,TX,1695239,1498818,1597357,1585961,1340422,1323111,1451978,1189311,992721,872845,3800578,3964124,4131225,4060590,4263856,4151065,3987778,4596600,4795216,4718367,5393262,5504726,5828991,5803534,6022376,6175136,6286229,6720839,6850186,6187966,414881,402823,400353,410907,411571,440109,403523,430597,431234,432869,524901,533395,584228,634054,672832,820815,915338,1009917,1071087,1149538
44,UT,346181,322055,355230,344054,330043,269016,274816,273117,266989,244280,230672,232630,258661,251649,242848,250199,231151,253819,276460,266595,276715,269396,271571,274435,276308,285349,294385,310060,305584,285122,0,0,0,0,0,0,0,0,0,0,31282,28026,25011,29679,33778,47601,64181,61286,60089,61965
45,VA,288348,222270,290508,278183,232427,222938,159813,149349,85120,75434,383436,424000,433438,438697,526314,572103,596648,667004,717725,748377,795625,796113,793774,830111,834674,844901,847776,869728,872814,739500,267334,300992,306430,316081,293455,310966,319562,305826,308013,314843,136050,134372,152518,167411,169053,167391,167010,183826,169910,170439
46,VT,0,0,0,0,0,0,0,0,0,0,8677,8287,9743,10853,12245,12383,12281,14208,14381,13589,79938,75387,78655,79824,81888,77727,77379,75792,77367,70379,51351,52283,50639,52929,0,0,0,0,0,0,33019,28836,36145,35555,41531,38701,40945,44258,43772,39823
47,WA,56951,42656,74955,76547,58273,53302,61732,61166,80837,59443,272261,271947,327840,320167,327738,324929,350872,334779,378216,354969,694946,697816,698425,681853,732667,800690,769685,775777,794537,621358,50293,97808,88408,99332,85347,100674,85013,101502,92584,98475,1080055,1036980,942926,957292,891733,948976,967707,955305,797587,884394
48,WI,447370,373281,454554,417096,408189,357335,388614,362077,280108,249316,399247,410305,454050,479396,476969,501042,504808,565291,592529,571817,516508,501822,510487,543179,534079,524098,523110,548839,547523,493092,120962,149845,121994,98807,104666,106173,100919,105900,104736,102071,186444,178205,188808,195664,200490,200299,198839,203443,202897,183061
49,WV,822645,756716,771188,816460,730949,751957,710445,661760,621722,539707,124935,140133,152880,180222,191059,188491,199298,221402,239854,265123,199665,194403,195225,193011,189690,199199,191481,216968,208371,179259,0,0,0,0,0,0,0,0,0,0,53542,51398,61073,57169,44994,47885,49947,53573,49681,48020
50,WY,467671,490128,520699,489300,487177,457315,458496,455748,410221,388253,161776,158546,156110,142268,126421,132478,158370,175639,172235,169076,168323,172121,161686,171012,158389,152624,153755,159048,155232,138481,0,0,0,0,0,0,0,0,0,0,61810,55484,54820,56015,52372,58491,59425,54920,57094,68407
51,US,19663856,17380923,18038771,17996577,15548985,14227138,13839632,13249958,11314925,9182696,24953771,26075691,26788768,27376838,28179686,28392790,28056891,31163246,32236174,31562036,34639718,33833375,34398415,34658248,35368448,35712347,36043829,36892286,36867235,32333489,8268698,8061822,8244433,8337559,8336886,8426753,8418968,8438068,8451852,8251075,9209646,8852895,9464268,9761070,9749471,10408644,11138359,11369899,11468314,11518077
